elem_id;set_dt;remark;mode;limit_press
9967;2022-08-01 08:20:00.000;откр перем;2;42.00
9980;2022-08-01 10:09:00.000;разрыв;1;NULL
9886;2022-08-01 10:10:00.000;разрыв соседнего;1;NULL
10093;2022-08-01 10:11:00.000;разрыв соседнего;0;NULL
10093;2022-08-01 10:12:00.000;разрыв соседнего;1;NULL
9659;2022-08-01 18:58:00.000;ГТУфа;2;NULL
9557;2022-08-02 07:29:00.000;По распоряжению ПДС;0;NULL
9657;2022-08-02 07:29:00.000;По распоряжению ПДС;0;NULL
9659;2022-08-02 07:29:00.000;По распоряжению ПДС;0;NULL
10093;2022-08-02 15:14:00.000;В работе.;0;NULL
9886;2022-08-02 15:33:00.000;Включение участка в работу;0;NULL
9980;2022-08-02 15:35:00.000;включение участка в работу;0;NULL
9557;2022-08-02 17:15:00.000;Распоряжение ПДС;1;NULL
9657;2022-08-02 17:15:00.000;Распоряжение ПДС;1;NULL
9659;2022-08-02 17:15:00.000;Распоряжение ПДС;1;NULL
10064;2022-08-03 05:21:00.000;chf,j;2;53.70
9557;2022-08-03 09:46:00.000;Прием газа от ГТУ;0;NULL
9657;2022-08-03 09:47:00.000;Прием газа от ГТУ;0;NULL
9659;2022-08-03 09:48:00.000;Прием газа от ГТУ;0;NULL
36098;2022-08-03 16:26:00.000;Вывод в ремонт по результатам ВТД;1;NULL
8481;2022-08-03 16:29:00.000;Вывод в ремонт по результатам ВТД;1;NULL
8484;2022-08-03 16:49:00.000;Ремонт по результатам ВТД;1;NULL
32105;2022-08-03 16:49:00.000;Ремонт по результатам ВТД;1;NULL
8487;2022-08-03 16:50:00.000;Ремонт по результатам ВТД;1;NULL
8488;2022-08-03 16:50:00.000;Ремонт по результатам ВТД;1;NULL
8480;2022-08-03 16:51:00.000;Ремонт по результатам ВТД;1;NULL
36098;2022-08-03 20:21:00.000;ремонт;1;NULL
8480;2022-08-03 20:33:00.000;ремонт;1;NULL
8481;2022-08-03 20:35:00.000;ремонт;1;NULL
36098;2022-08-03 20:35:00.000;ремонт;1;NULL
9557;2022-08-04 16:31:00.000;распоряжение ПДС;2;NULL
9657;2022-08-04 16:32:00.000;распоряжение ПДС;2;NULL
9659;2022-08-06 06:50:00.000;По распоряжению ПДС;2;NULL
9557;2022-08-08 12:40:00.000;ПДС;0;NULL
9657;2022-08-08 12:40:00.000;распоряжение ПДС;0;NULL
9659;2022-08-08 12:41:00.000;ПДС;0;NULL
9557;2022-08-09 09:46:00.000;от Уфы;2;NULL
9657;2022-08-09 09:47:00.000;от Уфы;2;NULL
9539;2022-08-09 09:48:00.000;тупик;2;NULL
9546;2022-08-09 09:48:00.000;тупик;2;NULL
9280;2022-08-09 09:49:00.000;тупик;2;NULL
9299;2022-08-09 09:49:00.000;тупик;2;NULL
9630;2022-08-09 09:50:00.000;тупик;2;NULL
9444;2022-08-09 09:51:00.000;тупик;2;NULL
9465;2022-08-09 09:52:00.000;тупик;2;NULL
9538;2022-08-09 09:53:00.000;тупик;2;NULL
33209;2022-08-09 09:53:00.000;тупик;2;NULL
9476;2022-08-09 09:54:00.000;тупик;2;NULL
6324;2022-08-09 14:03:00.000;замена кранов;1;NULL
8336;2022-08-10 05:46:00.000;Сработка
;1;NULL
9805;2022-08-10 05:47:00.000;Сработка;1;43.90
9876;2022-08-10 05:47:00.000;Сработка;1;36.30
9967;2022-08-10 05:48:00.000;Сработка;1;42.00
10064;2022-08-10 05:49:00.000;Сработка;1;53.70
10121;2022-08-10 05:49:00.000;Сработка;1;NULL
10208;2022-08-10 05:52:00.000;Сработан;1;35.30
10355;2022-08-10 05:53:00.000;Сработан;1;41.30
10459;2022-08-10 05:54:00.000;Сработан;1;NULL
10459;2022-08-10 05:55:00.000;Сработан;1;NULL
9814;2022-08-10 05:58:00.000;По режиму;2;52.70
8317;2022-08-10 05:59:00.000;По режиму;2;NULL
8441;2022-08-10 05:59:00.000;По режиму;2;NULL
9280;2022-08-10 06:05:00.000;По режиму;0;NULL
9299;2022-08-10 06:05:00.000;По режиму;0;NULL
9465;2022-08-10 06:05:00.000;По режиму;0;NULL
9539;2022-08-10 06:06:00.000;По режиму;0;NULL
9546;2022-08-10 06:06:00.000;По режиму;0;NULL
9630;2022-08-10 06:06:00.000;По режиму;0;NULL
9466;2022-08-10 06:07:00.000;тупик;2;NULL
9475;2022-08-10 06:08:00.000;тупик;2;NULL
9478;2022-08-10 06:08:00.000;тупик;2;NULL
8481;2022-08-10 14:40:00.000;Работы по результатам ВТД закончены.;0;NULL
8480;2022-08-10 14:41:00.000;Работы по результатам ВТД закончены.;0;NULL
36098;2022-08-10 14:41:00.000;Ремонт по результатам ВТД закончены.;0;NULL
32105;2022-08-10 14:42:00.000;Ремонт по результатам ВТД закончены.;0;NULL
8484;2022-08-10 14:43:00.000;Ремонт по результатам ВТД закончены.;0;NULL
8487;2022-08-10 14:43:00.000;Ремонт по результатам ВТД закончены.;1;NULL
8487;2022-08-10 14:44:00.000;Ремонт по результатам ВТД закончены.;0;NULL
6324;2022-08-11 19:15:00.000;Окончание огневых работ;0;NULL
33344;2022-08-12 05:22:00.000;Демонтаж КЗПОУ г/о Усть- Катав;1;NULL
12907;2022-08-12 05:23:00.000;Демонтаж КЗПОУ г/о Усть- Катав;1;NULL
11347;2022-08-12 05:28:00.000;Демонтаж КЗПОУ г/о Усть- Катав;1;NULL
12907;2022-08-12 22:04:00.000;в работу;1;NULL
12907;2022-08-12 22:05:00.000;в работу;0;NULL
33344;2022-08-12 22:05:00.000;в работу;0;NULL
9538;2022-08-13 09:20:00.000;по распоряжению ПДС;0;NULL
9557;2022-08-13 09:20:00.000;отключен по распоряжению ПДС;1;NULL
33209;2022-08-13 09:20:00.000;по распоряжению ПДС;0;NULL
9538;2022-08-13 09:28:00.000;по распоряжению ПДС;0;NULL
33209;2022-08-13 09:28:00.000;по распоряжению ПДС;0;NULL
9444;2022-08-13 09:35:00.000;gthtrk;0;NULL
9476;2022-08-13 09:35:00.000;перек;0;NULL
9466;2022-08-13 09:36:00.000;п;0;NULL
9475;2022-08-13 09:36:00.000;п;0;NULL
9557;2022-08-13 18:37:00.000;пдс;2;NULL
9630;2022-08-13 18:47:00.000;пдс;2;NULL
11347;2022-08-16 05:16:00.000;Окончание работ по демонтажу КЗПОУ.;0;NULL
8317;2022-08-17 08:32:00.000;В работе;2;NULL
8317;2022-08-17 08:39:00.000;По режиму работы;0;NULL
8441;2022-08-17 10:00:00.000;hbrk;0;NULL
9814;2022-08-17 10:00:00.000;Ирикл
;0;52.70
11120;2022-08-18 10:00:00.000;Ограничение РРД ФП №9 от 18.08.22;0;39.26
11121;2022-08-18 10:00:00.000;Ограничение РРД ФП №9 от 18.08.22;0;39.26
12914;2022-08-19 14:46:00.000;ограничение РРД снято;0;NULL
17071;2022-08-19 14:46:00.000;ограничение РРД снято;0;NULL
11206;2022-08-19 14:47:00.000;ограничение РРД изменено;0;50.10
11210;2022-08-19 14:47:00.000;ограничение РРД изменено;0;50.10
18054;2022-08-19 14:47:00.000;ограничение РРД изменено;0;50.10
8441;2022-08-20 08:35:00.000;по режиму;2;NULL
8317;2022-08-20 08:36:00.000;по режиму;2;NULL
6030;2022-08-21 03:36:00.000;участок ГО отремонтирован, запущен в работу;0;NULL
12907;2022-08-23 12:59:00.000;Ограничение РРД;0;0.00
36270;2022-08-23 12:59:00.000;Ограничение РРД;0;0.00
12444;2022-08-26 13:29:00.000;Снято ограничение РРД;0;NULL
12013;2022-08-26 13:30:00.000;Снято ограничение РРД;0;NULL
12075;2022-08-26 13:30:00.000;Снято ограничение РРД;0;NULL
12185;2022-08-26 13:30:00.000;Снято ограничение РРД;0;NULL
6599;2022-08-27 07:41:00.000;Врезка ВКПОУ;1;NULL
